Title,Company Name,Promotion Text,Location,Experience Required
Software Engineer (.NET),Prime Tech Solutions Ltd.,N/A,Kawran Bazar,2 to 4 year(s)
Android App Developer,PRAN-RFL Group,N/A,Dhaka,At least 2 year(s)
Mechanical/Senior Mechanical Design Engineer,BJIT Ltd.,N/A,Dhaka,1 to 5 year(s)
Junior Engineer,Zara Zaman Technology Ltd.,N/A,Gazipur,Na
Senior Project Manager - Mechanical Design,BJIT Ltd.,N/A,Dhaka,7 to 10 year(s)
Software Engineer,Ranks ITT Ltd,N/A,Dhaka,At least 2 year(s)
Senior .NET Full Stack Developer,Prime Tech Solutions Ltd.,N/A,Kawran Bazar,At least 5 year(s)
Application Developer (Distribution),Gildan-G.A.B. Limited,"$3 billion in sales, 12 countries, 45,000 employees, 5 brands, 1 common goal: to make apparel better. Better for the people who make our clothes, better for our world, better for you.",Gulshan,At least 3 year(s)
App Developer,Spiral Tech,N/A,Dhaka,2 to 6 year(s)
Software Developer (Mobile Apps),Siddique Enterprise Limited,N/A,Motijheel,5 to 10 year(s)
Software Engineer/ Senior Software Engineer (Mobile Apps),NRBC Bank PLC,N/A,Anywhere in Bangladesh,2 to 5 year(s)
Software Engineer/ Senior Software Engineer (ASP.NET),NRBC Bank PLC,N/A,Anywhere in Bangladesh,2 to 5 year(s)
Laravel Developer,Softwind Tech Ltd.,N/A,Banani,At least 3 year(s)
Officer/ Sr. Officer- Information Technology,Agora Limited,N/A,Dhaka,3 to 4 year(s)
IT Systems Administrator,Gildan-G.A.B. Limited,"$3 billion in sales, 12 countries, 45,000 employees, 5 brands, 1 common goal: to make apparel better. Better for the people who make our clothes, better for our world, better for you.",Savar,At least 3 year(s)
Flutter Developer,DebIT [Sister Concern of Pflegetech GmbH],N/A,"Dhaka, Bangladesh",At least 3 year(s)
VAT & IT (A.V.P/ S.P.O),Amir Shirt`s Ltd,N/A,Dhaka,5 to 10 year(s)
Asst. IT Executive,A reputed company,N/A,Dhaka,Na
Solution Manager-Cybersecurity Sales,Kazi Farms Group,N/A,Dhanmondi,At most 6 year(s)
Digital Marketer & Content Creator,BMC Industries Ltd.,"#Proficiency in Adobe Creative Suite and other graphic design tools.#Social Media Boosting#Server Side Tracking, GA4, GTM#Strong understanding of web design principles, including HTML, CSS, bootstrap, React, Vue and JavaScript.",Dhaka,At least 2 year(s)
IT Support Manager,Gildan-G.A.B. Limited,"$3 billion in sales, 12 countries, 45,000 employees, 5 brands, 1 common goal: to make apparel better. Better for the people who make our clothes, better for our world, better for you.",Savar,At least 10 year(s)
Software Engineer,Abdul Monem Limited,N/A,Dhaka,3 to 5 year(s)
Unity Developer Trainee,Rise Up Labs,N/A,Uttara,Na
Senior Java Developer,Computer Network Systems (CNS) Ltd.,N/A,Dhaka,At least 4 year(s)
Executive Officer (IT),A Hossain Group,N/A,"Dhaka, Mongla",2 to 5 year(s)
Sr. Executive/ Asst. Manager-Information Technology,Unique Group,N/A,Dhaka,3 to 5 year(s)
IT Technical Support-Executive,"Santic (Bangladesh) Co., LTD",N/A,Ashulia,At least 2 year(s)
